Names	total	elements
		CycK
		CG13102
		CG17883
		CG14341
		CG8945
		Patj
		CG30195
		CG14989
		RpS14b
		CG7324
		ArgRS-m
		epsilonCOP
		CG4928
		SkpA
		CG13506
		CG32803
		Ide
		CG13919
		CG2120
		Scgalpha
		CSN8
		CG12338
		Pfdn1
		Nlp
		CG42306
		CAH1
		velo
		veli
		Mlc2
		CG8728
		LTV1
		CG30151
		Rich
		TBCB
		CG12093
		CG31690
		MED20
		CG13157
		CG7200
		Tim9a
		CG10147
		CG10674
		dpr19
		CG11029
		Ance-3
		CG42245
		RpS28a
		CG13016
		PPP1R15
		CG10395
		CG15431
		CG31633
		CG31826
		CG17768
		lms
		CG10621
		dj-1beta
		CG7227
		RpS7
		CG11665
		RpL21
		CG9018
		CG8192
		CG13283
		CG3690
		nompA
		CG10730
		BG642312
		CG9775
		CG3500
		PQBP1
		CG10428
		RpL28
		Cog7
		Cyt-c1L
		RpL35
		CG11406
		CG32576
		CG5707
		Drs
		CG34236
		CG31908
		CG34045
		Rcd2
		SmD3
		Oatp26F
		CG34348
		VhaSFD
		Spt-I
		CG13386
		kn
		CG32262
		CG1265
		pgant4
		VGAT
		CG9536
		CG15337
		Or42a
		Tsp42Eg
		CG7049
		CG7215
		Vsp37A
		gcm2
		His2Av
		Smg6
		Cpr47Ee
		nrv2
		Pten
		CG30398
		CG1271
		Tsp42Eq
		CG17648
		fbp
		Ef1beta
		CG31650
		CG10431
		CG2906
		CG33775
		mthl14
		CG7328
		Rh50
		CG3640
		DCTN6-p27
		CG13905
		Vha16-1
		CG10459
		eIF-5A
		deltaCOP
		CG13994
		Mdr49
		Ady43A
		CG8620
		CG9416
		CG11630
		CG17712
		CG6985
		sds22
		Tspo
		Met
		ppk
		CG12343
		CG15347
		nompB
		RpL37A
		CG9752
		PH4alphaSG2
		CG3344
		mrt
		CG5758
		CG13284
		beat-IIb
		Ate1
		Glg1
		Snx6
		CG30411
		Rab4
		Gdap1
		CG34025
		GstT4
		CG11378
		Cdc2rk
		qm
		nolo
		CG13101
		plx
		mRpL18
		CG3011
		CG5846
		Sras
		Sec61alpha
		rap
		CG17159
		CG34396
		p115
		CG30356
		TfIIA-L
		CG3209
		CG15127
		CG5938
		CG1907
		Ac78C
		Updo
		CG13117
		Oseg4
		CG7882
		CG42313
		CG14184
		milt
		Keap1
		JTBR
		CG30403
		CG5909
		CG5439
		CG32984
		kra
		CG3078
		RpS26
		whd
		mxt
		CG42558
		Atg14
		CG32448
		akirin
		drd
		dpr14
		alpha-Est8
		CG11999
		Bet5
		Rab39
		RpS16
		Ir25a
		CG7742
		RabX1
		Cyp4aa1
		CG2277
		CG15739
		CG15530
		CG34338
		CG18417
		CG1896
		CG14075
		CG42239
		CG14507
		Msr-110
		Oseg2
		DCTN3-p24
		CG2144
		CG9886
		Cyp49a1
		CG7881
		Akh
		CG3847
		CG12065
		ApepP
		RpS15
		eIF5
		CG30159
		CG11110
		CG17378
		CG12116
		CG3226
		Opbp
		CG3308
		nec
		CG1116
		CG1354
		Mdr65
		DENR
		Tfb1
		CG4829
		mesh
		cbs
		koko
		Ehbp1
		CG16896
		Roc1a
		bc10
		CG7231
		CG2918
		CG14463
		CG5676
		Den1
		gammaCOP
		CG31917
		Lectin-galC1
		CG9125
		CG13692
		CG42296
		CG46301
		CG10166
		mldr
		CG13982
		CG11122
		Dhfr
		Sgf29
		CG15894
		CG13426
		Pcmt
		RpL29
		CG10132
		CG13585
		CG12170
		Pgd
		Rab2
		MrgBP
		MFS12
		ubl
		TTLL3A
		RpL13A
		CG11781
		CG43103
		Dlc90F
		Hmg-2
		Fbxl4
		CG9132
		Pitslre
		CG15406
		eIF-1A
		SmD2
		Cnx99A
		CG10795
		MED28
		CG1246
		CG9948
		jdp
		Sptr
		RpL12
		Pepck
		Ufc1
		NPF
		CG8314
		CG31937
		CG13362
		Pfdn6
		Cyp4d14
		tsu
		OSCP1
		CG14406
		CG31370
		GPHR
		CG14346
		CG15767
		CG31950
		Pex6
		CG17333
		Cyp6g2
		CG5953
		CG7903
		Fis1
		Uro
		CG13116
		lmgA
		CG1309
		CG34229
		cDIP
		CG33303
		Fer2LCH
		side
		Osi4
		Desat2
		CG31855
		CG2233
		ix
		cora
		CG12970
		CG12393
		RpL32
		CG9547
		alpha-Est9
		Cpr78Ca
		Lsm11
		Gr43a
		CG7646
		zyd
		CG6665
		Tret1-1
		RpII33
		Eglp4
		CG8008
		sni
		CG42258
		CG9853
		Ip259
		CG12003
		LysE
		sl
		IP3K2
		Tsp29Fb
		CG13004
		scpr-A
		CG4168
		CG15717
		dbr
		CG4598
		CG43366
		trbl
		CG4250
		HDAC6
		cag
		CG17321
		TfIIEbeta
		CG31743
		CG34005
		alpha-Est5
		alphaSnap
		CG10086
Current	11	Gr64b
		CG31659
		l(1)sc
		CG6280
		CG43244
		CG17343
		Cpr23B
		CLIP-190
		CG17821
		Lcp65Ag3
		ETH
Previous	5	CG1638
		CG7582
		CG6308
		Met75Cb
		CG1971
