Gene	sim	sec
CG5280	Dsim\GD12948	Dsec\GM24898
CG5281	Dsim\GD18756	Dsec\GM23946
CG5282	Dsim\GD12190	Dsec\GM22218
CG5285	Dsim\GD15165	Dsec\GM15218
CG5287	Dsim\GD23869	Dsec\GM10202
CG5290	Dsim\GD12360	Dsec\GM11644
CG5321	Dsim\GD17176	Dsec\GM12042
CG5323	Dsim\GD11396	Dsec\GM21900
CG5326	Dsim\GD18449	Dsec\GM23639
CG5327	Dsim\GD11397	Dsec\GM21901
CG5335	Dsim\GD11398	Dsec\GM21902
CG5339	Dsim\GD24997	Dsec\GM15495
CG5346	Dsim\GD18452	Dsec\GM23643
CG5355	Dsim\GD22260	Dsec\GM11679
CG5359	Dsim\GD20745	Dsec\GM26198
CG5361	Dsim\GD20736	Dsec\GM26188
CG5367	Dsim\GD22268	Dsec\GM11735
CG5376	Dsim\GD18454	Dsec\GM23645
CG5377	Dsim\GD18455	Dsec\GM23646
CG5379	Dsim\GD18465	Dsec\GM23657
CG5380	Dsim\GD18467	Dsec\GM23658
CG5381	Dsim\GD22273	Dsec\GM11756
CG5382	Dsim\GD18468	Dsec\GM23659
CG5386	Dsim\GD18470	Dsec\GM23661
CG5388	Dsim\GD18471	Dsec\GM23662
CG5390	Dsim\GD22278	Dsec\GM11791
CG5391	Dsim\GD18472	Dsec\GM23663
CG5397	Dsim\GD23091	Dsec\GM16812
CG5399	Dsim\GD19037	Dsec\GM24248
CG5402	Dsim\GD18077	Dsec\GM10105
CG5404	Dsim\GD19038	Dsec\GM24249
CG5412	Dsim\GD19358	Dsec\GM23119
CG5418	Dsim\GD22117	Dsec\GM26185
CG5421	Dsim\GD22118	Dsec\GM26197
CG5432	Dsim\GD21278	Dsec\GM10318
CG5435	Dsim\GD22121	Dsec\GM26229
CG5439	Dsim\GD23868	Dsec\GM10191
CG5440	Dsim\GD23095	Dsec\GM16815
CG5445	Dsim\GD15665	Dsec\GM13505
CG5446	Dsim\GD22122	Dsec\GM26240
CG5447	Dsim\GD21284	Dsec\GM10323
CG5455	Dsim\GD21288	Dsec\GM10327
CG5458	Dsim\GD23870	Dsec\GM10213
CG5466	Dsim\GD19362	Dsec\GM23124
CG5478	Dsim\GD20316	Dsec\GM25742
CG5482	Dsim\GD25378	Dsec\GM19892
CG5484	Dsim\GD21299	Dsec\GM10339
CG5493	Dsim\GD25380	Dsec\GM19895
CG5498	Dsim\GD12196	Dsec\GM22224
CG5500	Dsim\GD21312	Dsec\GM10350
CG5506	Dsim\GD12365	Dsec\GM24296
CG5510	Dsim\GD18315	Dsec\GM23505
CG5515	Dsim\GD18314	Dsec\GM23504
CG5521	Dsim\GD21317	Dsec\GM10354
CG5522	Dsim\GD11219	Dsec\GM21723
CG5525	Dsim\GD22106	Dsec\GM26064
CG5527	Dsim\GD21361	Dsec\GM16367
CG5532	Dsim\GD11795	Dsec\GM16045
CG5535	Dsim\GD12366	Dsec\GM24297
CG5538	Dsim\GD18838	Dsec\GM24038
CG5539	Dsim\GD11797	Dsec\GM16047
CG5541	Dsim\GD17186	Dsec\GM12052
CG5543	Dsim\GD11798	Dsec\GM16049
CG5549	Dsim\GD11799	Dsec\GM16050
CG5550	Dsim\GD11221	Dsec\GM21726
CG5554	Dsim\GD11801	Dsec\GM16051
CG5555	Dsim\GD20128	Dsec\GM26923
CG5561	Dsim\GD22914	Dsec\GM16615
CG5565	Dsim\GD22912	Dsec\GM16613
CG5567	Dsim\GD12368	Dsec\GM24299
CG5569	Dsim\GD11803	Dsec\GM16053
CG5577	Dsim\GD12369	Dsec\GM24300
CG5589	Dsim\GD12376	Dsec\GM24308
CG5590	Dsim\GD21345	Dsec\GM16349
CG5592	Dsim\GD13909	Dsec\GM14730
CG5597	Dsim\GD11805	Dsec\GM16057
CG5599	Dsim\GD17193	Dsec\GM12058
CG5604	Dsim\GD22285	Dsec\GM11846
CG5608	Dsim\GD20561	Dsec\GM26003
CG5611	Dsim\GD18069	Dsec\GM16334
CG5612	Dsim\GD18070	Dsec\GM16335
CG5613	Dsim\GD15670	Dsec\GM13512
CG5614	Dsim\GD19044	Dsec\GM24255
CG5618	Dsim\GD14877	Dsec\GM22279
CG5621	Dsim\GD19386	Dsec\GM15053
CG5623	Dsim\GD20331	Dsec\GM25755
CG5626	Dsim\GD12738	Dsec\GM24671
CG5639	Dsim\GD18072	Dsec\GM16337
CG5641	Dsim\GD20566	Dsec\GM26008
CG5642	Dsim\GD12745	Dsec\GM24677
CG5644	Dsim\GD12950	Dsec\GM24900
CG5645	Dsim\GD12747	Dsec\GM24679
CG5646	Dsim\GD18074	Dsec\GM16339
CG5653	Dsim\GD12952	Dsec\GM24902
CG5662	Dsim\GD17197	Dsec\GM12065
CG5664	Dsim\GD12119	Dsec\GM22141
CG5665	Dsim\GD14879	Dsec\GM22281
CG5674	Dsim\GD24119	Dsec\GM17253
CG5676	Dsim\GD22288	Dsec\GM11901
CG5687	Dsim\GD13424	Dsec\GM14155
CG5693	Dsim\GD24121	Dsec\GM17256
CG5694	Dsim\GD22292	Dsec\GM11935
CG5697	Dsim\GD19390	Dsec\GM15057
CG5707	Dsim\GD13405	Dsec\GM14135
CG5708	Dsim\GD22293	Dsec\GM11938
CG5715	Dsim\GD18303	Dsec\GM23496
CG5721	Dsim\GD25408	Dsec\GM19919
CG5726	Dsim\GD25409	Dsec\GM19920
CG5727	Dsim\GD22295	Dsec\GM11944
CG5728	Dsim\GD18300	Dsec\GM23494
CG5731	Dsim\GD22296	Dsec\GM11946
CG5734	Dsim\GD22297	Dsec\GM11949
CG5742	Dsim\GD25413	Dsec\GM19924
CG5745	Dsim\GD19395	Dsec\GM15063
CG5746	Dsim\GD18299	Dsec\GM23493
CG5755	Dsim\GD24129	Dsec\GM17264
CG5756	Dsim\GD25417	Dsec\GM19928
CG5757	Dsim\GD25418	Dsec\GM19929
CG5758	Dsim\GD24131	Dsec\GM17266
CG5762	Dsim\GD18296	Dsec\GM23490
CG5767	Dsim\GD25423	Dsec\GM19935
CG5768	Dsim\GD18290	Dsec\GM23484
CG5773	Dsim\GD25425	Dsec\GM19936
CG5776	Dsim\GD22101	Dsec\GM26020
CG5781	Dsim\GD22103	Dsec\GM26042
CG5783	Dsim\GD24134	Dsec\GM17269
CG5787	Dsim\GD22099	Dsec\GM25998
CG5789	Dsim\GD18286	Dsec\GM23478
CG5790	Dsim\GD24137	Dsec\GM17271
CG5791	Dsim\GD15173	Dsec\GM26400
CG5793	Dsim\GD19399	Dsec\GM15067
CG5800	Dsim\GD15676	Dsec\GM13518
CG5804	Dsim\GD12963	Dsec\GM24916
CG5805	Dsim\GD18273	Dsec\GM23466
CG5815	Dsim\GD21327	Dsec\GM10368
CG5819	Dsim\GD11657	Dsec\GM15898
CG5823	Dsim\GD20228	Dsec\GM15358
CG5828	Dsim\GD23321	Dsec\GM18528
CG5830	Dsim\GD12523	Dsec\GM24453
CG5835	Dsim\GD20132	Dsec\GM10045
CG5844	Dsim\GD18835	Dsec\GM24034
CG5846	Dsim\GD22319	Dsec\GM12079
CG5849	Dsim\GD20891	Dsec\GM26368
CG5850	Dsim\GD22317	Dsec\GM12071
CG5853	Dsim\GD22321	Dsec\GM12092
CG5854	Dsim\GD21047	Dsec\GM26540
CG5860	Dsim\GD19154	Dsec\GM15228
CG5861	Dsim\GD21922	Dsec\GM17912
CG5862	Dsim\GD19406	Dsec\GM15076
CG5863	Dsim\GD19155	Dsec\GM15229
CG5866	Dsim\GD19157	Dsec\GM15231
CG5867	Dsim\GD23877	Dsec\GM22927
CG5872	Dsim\GD14886	Dsec\GM22292
CG5877	Dsim\GD17202	Dsec\GM19624
CG5880	Dsim\GD21328	Dsec\GM10369
CG5883	Dsim\GD12761	Dsec\GM24691
CG5885	Dsim\GD22325	Dsec\GM12147
CG5886	Dsim\GD21238	Dsec\GM10269
CG5888	Dsim\GD21911	Dsec\GM17176
CG5890	Dsim\GD21239	Dsec\GM10270
CG5892	Dsim\GD19409	Dsec\GM15080
CG5895	Dsim\GD14591	Dsec\GM25579
CG5897	Dsim\GD12764	Dsec\GM24694
CG5902	Dsim\GD21051	Dsec\GM26545
CG5903	Dsim\GD20307	Dsec\GM12968
CG5906	Dsim\GD17579	Dsec\GM24695
CG5909	Dsim\GD15187	Dsec\GM10374
CG5910	Dsim\GD14887	Dsec\GM22293
CG5913	Dsim\GD21242	Dsec\GM10273
CG5916	Dsim\GD19076	Dsec\GM24287
CG5919	Dsim\GD19412	Dsec\GM15083
CG5921	Dsim\GD16780	Dsec\GM12462
CG5928	Dsim\GD16782	Dsec\GM12464
CG5934	Dsim\GD15135	Dsec\GM10383
CG5937	Dsim\GD16779	Dsec\GM12461
CG5938	Dsim\GD15136	Dsec\GM10384
CG5945	Dsim\GD23879	Dsec\GM10322
CG5946	Dsim\GD12773	Dsec\GM24706
CG5948	Dsim\GD21244	Dsec\GM10274
CG5953	Dsim\GD21909	Dsec\GM17174
CG5955	Dsim\GD14889	Dsec\GM22296
CG5958	Dsim\GD22495	Dsec\GM13560
CG5961	Dsim\GD20562	Dsec\GM26004
CG5964	Dsim\GD12775	Dsec\GM24710
CG5966	Dsim\GD16776	Dsec\GM12459
CG5968	Dsim\GD21908	Dsec\GM17171
CG5969	Dsim\GD14890	Dsec\GM22297
CG5973	Dsim\GD23473	Dsec\GM16464
CG5984	Dsim\GD15083	Dsec\GM10119
CG5986	Dsim\GD21057	Dsec\GM26552
CG5987	Dsim\GD15082	Dsec\GM10118
CG5989	Dsim\GD12974	Dsec\GM24926
CG5991	Dsim\GD21059	Dsec\GM26553
CG6000	Dsim\GD21060	Dsec\GM26554
CG6005	Dsim\GD20139	Dsec\GM23370
CG6006	Dsim\GD19077	Dsec\GM24288
CG6012	Dsim\GD21890	Dsec\GM17150
CG6013	Dsim\GD19268	Dsec\GM23307
CG6015	Dsim\GD18480	Dsec\GM23670
CG6023	Dsim\GD15647	Dsec\GM22823
CG6024	Dsim\GD12779	Dsec\GM24716
CG6026	Dsim\GD19269	Dsec\GM23318
CG6028	Dsim\GD18483	Dsec\GM23673
CG6036	Dsim\GD18139	Dsec\GM10187
CG6040	Dsim\GD19271	Dsec\GM26822
CG6041	Dsim\GD16771	Dsec\GM12454
CG6044	Dsim\GD11665	Dsec\GM15907
CG6048	Dsim\GD16772	Dsec\GM12456
CG6051	Dsim\GD18091	Dsec\GM10129
CG6052	Dsim\GD12385	Dsec\GM24314
CG6055	Dsim\GD23474	Dsec\GM16469
CG6059	Dsim\GD18092	Dsec\GM10130
CG6066	Dsim\GD18093	Dsec\GM10131
CG6067	Dsim\GD16773	Dsec\GM12457
CG6071	Dsim\GD17580	Dsec\GM24727
CG6073	Dsim\GD18144	Dsec\GM10193
CG6083	Dsim\GD12788	Dsec\GM24728
CG6084	Dsim\GD12789	Dsec\GM24729
CG6091	Dsim\GD12791	Dsec\GM24732
CG6094	Dsim\GD23712	Dsec\GM18502
CG6106	Dsim\GD17391	Dsec\GM22893
CG6115	Dsim\GD21888	Dsec\GM17148
CG6118	Dsim\GD20349	Dsec\GM25770
CG6123	Dsim\GD15646	Dsec\GM22822
CG6125	Dsim\GD15099	Dsec\GM25771
CG6126	Dsim\GD20304	Dsec\GM25727
CG6136	Dsim\GD20351	Dsec\GM25773
CG6142	Dsim\GD21272	Dsec\GM10309
CG6144	Dsim\GD23711	Dsec\GM18491
CG6145	Dsim\GD25753	Dsec\GM20270
CG6149	Dsim\GD12806	Dsec\GM24755
CG6153	Dsim\GD23848	Dsec\GM26892
CG6154	Dsim\GD21276	Dsec\GM10315
CG6163	Dsim\GD12809	Dsec\GM24758
CG6168	Dsim\GD12810	Dsec\GM24759
CG6171	Dsim\GD20355	Dsec\GM25777
CG6175	Dsim\GD17583	Dsec\GM24762
CG6178	Dsim\GD21070	Dsec\GM26566
CG6179	Dsim\GD17393	Dsec\GM22895
CG6180	Dsim\GD23851	Dsec\GM10048
CG6182	Dsim\GD21071	Dsec\GM26567
CG6184	Dsim\GD20104	Dsec\GM26897
CG6191	Dsim\GD25748	Dsec\GM20262
CG6195	Dsim\GD20106	Dsec\GM26898
CG6201	Dsim\GD22194	Dsec\GM11156
CG6204	Dsim\GD21076	Dsec\GM26572
CG6209	Dsim\GD25744	Dsec\GM20258
CG6216	Dsim\GD12817	Dsec\GM24768
CG6218	Dsim\GD20360	Dsec\GM25783
CG6220	Dsim\GD25743	Dsec\GM20257
CG6227	Dsim\GD17208	Dsec\GM20179
CG6230	Dsim\GD22193	Dsec\GM11152
CG6231	Dsim\GD20109	Dsec\GM26901
CG6236	Dsim\GD20362	Dsec\GM25785
CG6254	Dsim\GD20730	Dsec\GM26181
CG6255	Dsim\GD20111	Dsec\GM26905
CG6262	Dsim\GD11189	Dsec\GM21693
CG6271	Dsim\GD18100	Dsec\GM10142
CG6272	Dsim\GD12828	Dsec\GM24777
CG6276	Dsim\GD20363	Dsec\GM25786
CG6279	Dsim\GD12829	Dsec\GM24778
CG6280	Dsim\GD10981	Dsec\GM21486
CG6282	Dsim\GD14109	Dsec\GM25072
CG6283	Dsim\GD18102	Dsec\GM10143
CG6287	Dsim\GD22186	Dsec\GM11122
CG6290	Dsim\GD17395	Dsec\GM22899
CG6293	Dsim\GD20724	Dsec\GM26175
CG6294	Dsim\GD24818	Dsec\GM19566
CG6295	Dsim\GD18105	Dsec\GM10148
CG6296	Dsim\GD18106	Dsec\GM10150
CG6299	Dsim\GD24819	Dsec\GM19567
CG6300	Dsim\GD20102	Dsec\GM26862
CG6304	Dsim\GD21884	Dsec\GM17143
CG6308	Dsim\GD24820	Dsec\GM19574
CG6310	Dsim\GD12832	Dsec\GM24781
CG6321	Dsim\GD12835	Dsec\GM24785
CG6324	Dsim\GD24821	Dsec\GM19572
CG6325	Dsim\GD20722	Dsec\GM26171
CG6329	Dsim\GD10986	Dsec\GM21492
CG6330	Dsim\GD18110	Dsec\GM10155
CG6332	Dsim\GD20913	Dsec\GM26392
CG6333	Dsim\GD12401	Dsec\GM24328
CG6337	Dsim\GD25740	Dsec\GM20254
CG6340	Dsim\GD17213	Dsec\GM19575
CG6345	Dsim\GD20720	Dsec\GM26169
CG6347	Dsim\GD10987	Dsec\GM21493
CG6356	Dsim\GD21085	Dsec\GM26583
CG6357	Dsim\GD10988	Dsec\GM21494
CG6362	Dsim\GD25439	Dsec\GM19948
CG6364	Dsim\GD21086	Dsec\GM26584
CG6379	Dsim\GD16313	Dsec\GM12706
CG6380	Dsim\GD21878	Dsec\GM17136
CG6388	Dsim\GD23837	Dsec\GM26818
CG6398	Dsim\GD17365	Dsec\GM22856
CG6401	Dsim\GD25445	Dsec\GM19954
CG6403	Dsim\GD18120	Dsec\GM10166
CG6404	Dsim\GD12846	Dsec\GM24796
CG6405	Dsim\GD23836	Dsec\GM26816
CG6406	Dsim\GD25446	Dsec\GM19955
CG6412	Dsim\GD21861	Dsec\GM17120
CG6415	Dsim\GD23726	Dsec\GM18702
CG6418	Dsim\GD17585	Dsec\GM24798
CG6420	Dsim\GD18121	Dsec\GM10167
CG6422	Dsim\GD18245	Dsec\GM17761
CG6424	Dsim\GD25448	Dsec\GM19957
CG6425	Dsim\GD18122	Dsec\GM10170
CG6429	Dsim\GD11229	Dsec\GM21734
CG6431	Dsim\GD23727	Dsec\GM18713
CG6432	Dsim\GD21091	Dsec\GM26589
CG6435	Dsim\GD11230	Dsec\GM21736
CG6439	Dsim\GD18486	Dsec\GM23677
CG6441	Dsim\GD23475	Dsec\GM16473
CG6454	Dsim\GD21093	Dsec\GM26591
CG6462	Dsim\GD13921	Dsec\GM14740
CG6465	Dsim\GD20716	Dsec\GM26165
CG6470	Dsim\GD15627	Dsec\GM22802
CG6472	Dsim\GD11231	Dsec\GM21737
CG6479	Dsim\GD12417	Dsec\GM24343
CG6484	Dsim\GD25462	Dsec\GM19968
CG6488	Dsim\GD22172	Dsec\GM11064
CG6495	Dsim\BcDNA:GH10711	Dsec\GM18737
CG6497	Dsim\GD12421	Dsec\GM24347
CG6503	Dsim\GD18137	Dsec\GM10185
CG6508	Dsim\GD23735	Dsec\GM18741
CG6512	Dsim\GD12422	Dsec\GM24348
CG6523	Dsim\GD23891	Dsec\GM10421
CG6540	Dsim\GD24856	Dsec\GM22908
CG6543	Dsim\GD25738	Dsec\GM20252
CG6550	Dsim\GD25482	Dsec\GM19985
CG6565	Dsim\GD23894	Dsec\GM10454
CG6567	Dsim\GD20698	Dsec\GM26145
CG6568	Dsim\GD25484	Dsec\GM19989
CG6569	Dsim\GD18496	Dsec\GM23687
CG6574	Dsim\GD20696	Dsec\GM26143
CG6576	Dsim\GD14125	Dsec\GM25089
CG6583	Dsim\GD22126	Dsec\GM26284
CG6592	Dsim\GD13926	Dsec\GM14745
CG6602	Dsim\GD13930	Dsec\GM14748
CG6607	Dsim\GD15182	Dsec\GM26608
CG6610	Dsim\GD13931	Dsec\GM26694
CG6613	Dsim\GD11643	Dsec\GM15880
CG6614	Dsim\GD22162	Dsec\GM11023
CG6617	Dsim\GD24473	Dsec\GM22795
CG6621	Dsim\GD20689	Dsec\GM26135
CG6628	Dsim\GD12870	Dsec\GM24819
CG6629	Dsim\GD20687	Dsec\GM26134
CG6638	Dsim\GD12977	Dsec\GM24928
CG6650	Dsim\GD14473	Dsec\GM25447
CG6652	Dsim\GD12431	Dsec\GM24354
CG6654	Dsim\GD20376	Dsec\GM25799
CG6656	Dsim\GD20904	Dsec\GM26381
CG6659	Dsim\GD24471	Dsec\GM22793
CG6660	Dsim\GD20987	Dsec\GM26471
CG6661	Dsim\GD14474	Dsec\GM25448
CG6664	Dsim\GD12432	Dsec\GM24355
CG6665	Dsim\GD11236	Dsec\GM21743
CG6674	Dsim\GD12879	Dsec\GM24827
CG6675	Dsim\GD24346	Dsec\GM16157
CG6678	Dsim\GD20908	Dsec\GM26385
CG6683	Dsim\GD12981	Dsec\GM24933
CG6685	Dsim\GD12880	Dsec\GM24828
CG6686	Dsim\GD22147	Dsec\GM26484
CG6688	Dsim\GD20994	Dsec\GM26478
CG6689	Dsim\GD20676	Dsec\GM26116
CG6693	Dsim\GD20675	Dsec\GM26115
CG6696	Dsim\GD24468	Dsec\GM22792
CG6700	Dsim\GD22222	Dsec\GM11402
CG6701	Dsim\GD25725	Dsec\GM20239
CG6707	Dsim\GD12881	Dsec\GM24829
CG6712	Dsim\GD22130	Dsec\GM26329
CG6724	Dsim\GD22226	Dsec\GM11446
CG6726	Dsim\GD20996	Dsec\GM26483
CG6729	Dsim\GD22229	Dsec\GM11479
CG6734	Dsim\GD22143	Dsec\GM26440
CG6739	Dsim\GD12026	Dsec\GM16502
CG6744	Dsim\GD20659	Dsec\GM26098
CG6745	Dsim\GD14097	Dsec\GM25058
CG6746	Dsim\GD22144	Dsec\GM26451
CG6749	Dsim\GD12897	Dsec\GM24845
CG6752	Dsim\GD20379	Dsec\GM25803
CG6753	Dsim\GD20554	Dsec\GM25994
CG6758	Dsim\GD15446	Dsec\GM15889
CG6761	Dsim\GD12901	Dsec\GM24849
CG6762	Dsim\GD17370	Dsec\GM22861
CG6763	Dsim\GD21011	Dsec\GM26498
CG6765	Dsim\GD14098	Dsec\GM25059
CG6766	Dsim\GD22141	Dsec\GM16260
CG6767	Dsim\GD12902	Dsec\GM24850
CG6769	Dsim\GD17371	Dsec\GM22862
CG6770	Dsim\GD22138	Dsec\GM26395
CG6785	Dsim\GD22139	Dsec\GM26406
CG6788	Dsim\GD17373	Dsec\GM22864
CG6791	Dsim\GD20654	Dsec\GM26091
CG6793	Dsim\GD14352	Dsec\GM25321
CG6800	Dsim\GD20897	Dsec\GM26375
CG6808	Dsim\GD20652	Dsec\GM26089
CG6812	Dsim\GD14786	Dsec\GM15009
CG6813	Dsim\GD20651	Dsec\GM26088
CG6830	Dsim\GD20644	Dsec\GM26082
CG6833	Dsim\GD14476	Dsec\GM25450
CG6836	Dsim\GD14784	Dsec\GM15006
CG6839	Dsim\GD14783	Dsec\GM15005
CG6841	Dsim\GD14782	Dsec\GM15004
CG6843	Dsim\GD14781	Dsec\GM15003
CG6845	Dsim\GD13546	Dsec\GM14310
CG6847	Dsim\GD17376	Dsec\GM22867
CG6852	Dsim\GD14776	Dsec\GM14998
CG6865	Dsim\GD14772	Dsec\GM14994
CG6867	Dsim\GD17379	Dsec\GM22869
CG6870	Dsim\GD21856	Dsec\GM17113
CG6878	Dsim\GD14530	Dsec\GM25515
CG6885	Dsim\GD14766	Dsec\GM14989
CG6888	Dsim\GD14531	Dsec\GM25516
CG6891	Dsim\GD17404	Dsec\GM22913
CG6893	Dsim\GD14765	Dsec\GM14988
CG6901	Dsim\GD19089	Dsec\GM15147
CG6903	Dsim\GD16714	Dsec\GM12376
CG6907	Dsim\GD23347	Dsec\GM18552
CG6910	Dsim\GD14365	Dsec\GM25333
CG6912	Dsim\GD20382	Dsec\GM25806
CG6927	Dsim\GD16712	Dsec\GM12373
CG6928	Dsim\GD14351	Dsec\GM25320
CG6931	Dsim\GD14350	Dsec\GM25318
CG6933	Dsim\GD12208	Dsec\GM22238
CG6937	Dsim\GD20965	Dsec\GM26446
CG6938	Dsim\GD14349	Dsec\GM25317
CG6950	Dsim\GD20629	Dsec\GM26066
CG6951	Dsim\GD14864	Dsec\GM22266
CG6959	Dsim\GD20628	Dsec\GM26065
CG6961	Dsim\GD15616	Dsec\GM22784
CG6962	Dsim\GD20627	Dsec\GM26063
CG6966	Dsim\GD20385	Dsec\GM25809
CG6967	Dsim\GD11245	Dsec\GM21754
CG6971	Dsim\GD20624	Dsec\GM26061
CG6972	Dsim\GD24878	Dsec\GM26461
CG6974	Dsim\GD20386	Dsec\GM25810
CG6978	Dsim\GD16705	Dsec\GM12366
CG6980	Dsim\GD21131	Dsec\GM26628
CG6983	Dsim\GD12988	Dsec\GM24937
CG6984	Dsim\GD11247	Dsec\GM21756
CG6985	Dsim\GD20981	Dsec\GM11759
CG6996	Dsim\GD14858	Dsec\GM22259
CG7006	Dsim\GD21137	Dsec\GM26634
CG7011	Dsim\GD12569	Dsec\GM24497
CG7017	Dsim\GD12210	Dsec\GM22239
CG7024	Dsim\GD16703	Dsec\GM12362
CG7025	Dsim\GD22481	Dsec\GM13458
CG7028	Dsim\GD13533	Dsec\GM14295
CG7029	Dsim\GD20984	Dsec\GM26468
CG7031	Dsim\GD20985	Dsec\GM26469
CG7033	Dsim\GD24772	Dsec\GM13717
CG7044	Dsim\GD20008	Dsec\GM15102
CG7049	Dsim\GD13538	Dsec\GM14301
CG7054	Dsim\GD20953	Dsec\GM26436
CG7059	Dsim\GD20944	Dsec\GM26427
CG7065	Dsim\GD16930	Dsec\GM13721
CG7069	Dsim\GD20940	Dsec\GM26421
CG7071	Dsim\GD20938	Dsec\GM26419
CG7079	Dsim\GD20015	Dsec\GM15111
CG7080	Dsim\GD20932	Dsec\GM26412
CG7083	Dsim\GD14083	Dsec\GM25046
CG7084	Dsim\GD20931	Dsec\GM26411
CG7091	Dsim\GD18866	Dsec\GM24069
CG7094	Dsim\GD21857	Dsec\GM17114
CG7099	Dsim\GD23897	Dsec\GM10488
CG7101	Dsim\GD17411	Dsec\GM22919
CG7102	Dsim\GD22459	Dsec\GM13267
CG7110	Dsim\GD23898	Dsec\GM10499
CG7115	Dsim\GD23491	Dsec\GM16598
CG7126	Dsim\GD20182	Dsec\GM15304
CG7130	Dsim\GD12075	Dsec\GM22099
CG7131	Dsim\GD20185	Dsec\GM15307
CG7133	Dsim\GD12076	Dsec\GM22100
CG7135	Dsim\GD24685	Dsec\GM22881
CG7137	Dsim\GD11435	Dsec\GM21938
CG7139	Dsim\GD12077	Dsec\GM22101
CG7140	Dsim\GD12078	Dsec\GM22102
CG7142	Dsim\GD20188	Dsec\GM15310
CG7148	Dsim\GD12083	Dsec\GM22107
CG7149	Dsim\GD22469	Dsec\GM13330
CG7154	Dsim\GD23488	Dsec\GM16565
CG7156	Dsim\GD20192	Dsec\GM15315
CG7164	Dsim\GD23487	Dsec\GM16563
CG7166	Dsim\GD12101	Dsec\GM22123
CG7168	Dsim\GD20193	Dsec\GM15316
CG7173	Dsim\GD12107	Dsec\GM22128
CG7179	Dsim\GD22470	Dsec\GM13350
CG7182	Dsim\GD12999	Dsec\GM24947
CG7183	Dsim\GD20196	Dsec\GM15318
CG7185	Dsim\GD13000	Dsec\GM24949
CG7191	Dsim\GD23485	Dsec\GM16550
CG7200	Dsim\GD21842	Dsec\GM17099
CG7201	Dsim\GD13005	Dsec\GM24954
CG7202	Dsim\GD12115	Dsec\GM22137
CG7203	Dsim\GD22471	Dsec\GM13361
CG7206	Dsim\GD15653	Dsec\GM22837
CG7213	Dsim\GD13008	Dsec\GM24957
CG7214	Dsim\GD22472	Dsec\GM13372
CG7215	Dsim\GD20202	Dsec\GM15326
CG7220	Dsim\GD10753	Dsec\GM21234
CG7222	Dsim\GD10757	Dsec\GM21239
CG7227	Dsim\GD22452	Dsec\GM13235
CG7231	Dsim\GD23495	Dsec\GM16643
CG7236	Dsim\GD23357	Dsec\GM18566
CG7239	Dsim\GD23363	Dsec\GM18573
CG7246	Dsim\GD16086	Dsec\GM13683
CG7248	Dsim\GD14344	Dsec\GM25312
CG7251	Dsim\GD22643	Dsec\GM18010
CG7252	Dsim\GD14341	Dsec\GM25310
CG7255	Dsim\GD14536	Dsec\GM25522
CG7264	Dsim\GD14334	Dsec\GM25302
CG7265	Dsim\GD20394	Dsec\GM25818
CG7272	Dsim\GD14544	Dsec\GM25529
CG7275	Dsim\GD14543	Dsec\GM25528
CG7277	Dsim\GD22648	Dsec\GM18018
CG7280	Dsim\GD15611	Dsec\GM18721
CG7289	Dsim\GD23123	Dsec\GM16840
CG7290	Dsim\GD12212	Dsec\GM22240
CG7295	Dsim\GD23118	Dsec\GM16836
CG7298	Dsim\GD12213	Dsec\GM22242
CG7300	Dsim\GD22236	Dsec\GM11521
CG7304	Dsim\GD14568	Dsec\GM25553
CG7309	Dsim\GD22211	Dsec\GM11292
CG7311	Dsim\GD23915	Dsec\GM10691
CG7322	Dsim\GD24467	Dsec\GM22780
CG7324	Dsim\GD12123	Dsec\GM22146
CG7326	Dsim\GD15612	Dsec\GM22779
CG7328	Dsim\GD12218	Dsec\GM22247
CG7329	Dsim\GD22241	Dsec\GM11576
CG7330	Dsim\GD14748	Dsec\GM14968
CG7332	Dsim\GD17416	Dsec\GM22931
CG7335	Dsim\GD12219	Dsec\GM22248
CG7339	Dsim\GD14319	Dsec\GM25288
CG7341	Dsim\GD14746	Dsec\GM14966
CG7342	Dsim\GD19298	Dsec\GM26850
CG7352	Dsim\GD18540	Dsec\GM23730
CG7357	Dsim\GD20207	Dsec\GM15333
CG7365	Dsim\GD12222	Dsec\GM22250
CG7366	Dsim\GD13009	Dsec\GM24959
CG7368	Dsim\GD14315	Dsec\GM25284
CG7369	Dsim\GD15050	Dsec\GM22469
CG7372	Dsim\GD14561	Dsec\GM25548
CG7376	Dsim\GD13945	Dsec\GM14768
CG7377	Dsim\GD14314	Dsec\GM25283
CG7378	Dsim\GD17418	Dsec\GM22933
CG7379	Dsim\GD20212	Dsec\GM15338
CG7381	Dsim\GD20531	Dsec\GM25971
CG7382	Dsim\GD22650	Dsec\GM18020
CG7384	Dsim\GD22247	Dsec\GM11619
CG7386	Dsim\GD13947	Dsec\GM14770
CG7387	Dsim\GD13011	Dsec\GM24961
CG7394	Dsim\GD14312	Dsec\GM25281
CG7402	Dsim\GD14734	Dsec\GM25726
CG7407	Dsim\GD15003	Dsec\GM22411
CG7408	Dsim\GD14733	Dsec\GM25725
CG7409	Dsim\GD14033	Dsec\GM25000
CG7414	Dsim\GD15005	Dsec\GM22412
CG7420	Dsim\GD22907	Dsec\GM16607
CG7423	Dsim\GD15607	Dsec\GM22773
